scale_of_number_of_assets;scale_of_quantity_of_assets;scale_of_allocation_weights;rebalance_kind;scale_of_rebalance_amount;investment_portfolio_id;rebalance_order_id;rebalance_id;current_variation_percentage_total_sum;projected_variation_percentage_total_sum;variation_percentage_reduction;execution_time_in_seconds
51..100;51..100;random;default_rebalance_with_deposit;67..99;5519;6887;6618;21307,11;0,0;100,0;1,16
51..100;51..100;random;default_rebalance_with_deposit;100..200;5519;6888;6619;21307,11;0,0;100,0;1,96
51..100;51..100;random;default_rebalance_with_withdrawal;1..33;5519;6889;6620;21307,11;0,0;100,0;1,52
51..100;51..100;random;default_rebalance_with_withdrawal;34..66;5519;6890;6621;21307,11;0,0;100,0;0,94
51..100;51..100;random;default_rebalance_with_withdrawal;67..99;5519;6891;6622;21307,11;0,0;100,0;0,91
51..100;51..100;random;contribution_rebalance;1..33;5519;6892;6623;21307,11;18136,58;14,88;0,89
51..100;51..100;random;contribution_rebalance;34..66;5519;6893;6624;21307,11;12216,89;42,66;1,58
51..100;51..100;random;contribution_rebalance;67..99;5519;6894;6625;21307,11;11083,08;47,98;2,04
51..100;51..100;random;contribution_rebalance;100..200;5519;6895;6626;21307,11;5080,67;76,15;1,18
51..100;101..150;random;default_rebalance;-;5520;6896;6627;23085,21;0,0;100,0;0,9
51..100;101..150;random;default_rebalance_with_deposit;1..33;5520;6897;6628;23085,21;0,0;100,0;0,86
51..100;101..150;random;default_rebalance_with_deposit;34..66;5520;6898;6629;23085,21;0,0;100,0;1,94
51..100;101..150;random;default_rebalance_with_deposit;67..99;5520;6899;6630;23085,21;0,0;100,0;1,85
51..100;101..150;random;default_rebalance_with_deposit;100..200;5520;6900;6631;23085,21;0,0;100,0;0,91
51..100;101..150;random;default_rebalance_with_withdrawal;1..33;5520;6901;6632;23085,21;0,0;100,0;0,93
51..100;101..150;random;default_rebalance_with_withdrawal;34..66;5520;6902;6633;23085,21;0,0;100,0;0,91
51..100;101..150;random;default_rebalance_with_withdrawal;67..99;5520;6903;6634;23085,21;0,0;100,0;0,93
51..100;101..150;random;contribution_rebalance;1..33;5520;6904;6635;23085,21;17545,2;23,99;0,97
51..100;101..150;random;contribution_rebalance;34..66;5520;6905;6636;23085,21;14200,59;38,48;0,97
51..100;101..150;random;contribution_rebalance;67..99;5520;6906;6637;23085,21;11096,26;51,93;0,92
51..100;101..150;random;contribution_rebalance;100..200;5520;6907;6638;23085,21;6575,94;71,51;1,51
51..100;151..200;random;default_rebalance;-;5521;6908;6639;18088,75;0,0;100,0;1,4
51..100;151..200;random;default_rebalance_with_deposit;1..33;5521;6909;6640;18088,75;0,0;100,0;0,7
51..100;151..200;random;default_rebalance_with_deposit;34..66;5521;6910;6641;18088,75;0,0;100,0;0,7
51..100;151..200;random;default_rebalance_with_deposit;67..99;5521;6911;6642;18088,75;0,0;100,0;0,74
51..100;151..200;random;default_rebalance_with_deposit;100..200;5521;6912;6643;18088,75;0,0;100,0;0,71
51..100;151..200;random;default_rebalance_with_withdrawal;1..33;5521;6913;6644;18088,75;0,0;100,0;0,87
51..100;151..200;random;default_rebalance_with_withdrawal;34..66;5521;6914;6645;18088,75;0,0;100,0;1,51
51..100;151..200;random;default_rebalance_with_withdrawal;67..99;5521;6915;6646;18088,75;0,0;100,0;1,59
51..100;151..200;random;contribution_rebalance;1..33;5521;6916;6647;18088,75;12971,52;28,28;0,74
51..100;151..200;random;contribution_rebalance;34..66;5521;6917;6648;18088,75;10192,85;43,65;0,72
51..100;151..200;random;contribution_rebalance;67..99;5521;6918;6649;18088,75;8618,94;52,35;0,69
51..100;151..200;random;contribution_rebalance;100..200;5521;6919;6650;18088,75;6975,0;61,44;0,71
51..100;201..250;random;default_rebalance;-;5522;6920;6651;24309,59;0,0;100,0;1,29
51..100;201..250;random;default_rebalance_with_deposit;1..33;5522;6921;6652;24309,59;0,0;100,0;1,31
51..100;201..250;random;default_rebalance_with_deposit;34..66;5522;6922;6653;24309,59;0,0;100,0;1,3
51..100;201..250;random;default_rebalance_with_deposit;67..99;5522;6923;6654;24309,59;0,0;100,0;0,59
51..100;201..250;random;default_rebalance_with_deposit;100..200;5522;6924;6655;24309,59;0,0;100,0;0,6
51..100;201..250;random;default_rebalance_with_withdrawal;1..33;5522;6925;6656;24309,59;0,0;100,0;0,66
51..100;201..250;random;default_rebalance_with_withdrawal;34..66;5522;6926;6657;24309,59;0,0;100,0;0,59
51..100;201..250;random;default_rebalance_with_withdrawal;67..99;5522;6927;6658;24309,59;0,0;100,0;0,66
51..100;201..250;random;contribution_rebalance;1..33;5522;6928;6659;24309,59;20677,07;14,94;0,88
51..100;201..250;random;contribution_rebalance;34..66;5522;6929;6660;24309,59;14179,26;41,67;1,3
51..100;201..250;random;contribution_rebalance;67..99;5522;6930;6661;24309,59;12093,18;50,25;1,33
51..100;201..250;random;contribution_rebalance;100..200;5522;6931;6662;24309,59;10940,66;54,99;1,27
101..150;2..50;random;default_rebalance;-;5523;6932;6663;34708,17;0,0;100,0;1,38
101..150;2..50;random;default_rebalance_with_deposit;1..33;5523;6933;6664;34708,17;0,0;100,0;1,16
101..150;2..50;random;default_rebalance_with_deposit;34..66;5523;6934;6665;34708,17;0,0;100,0;1,15
101..150;2..50;random;default_rebalance_with_deposit;67..99;5523;6935;6666;34708,17;0,0;100,0;1,16
101..150;2..50;random;default_rebalance_with_deposit;100..200;5523;6936;6667;34708,17;0,0;100,0;1,19
101..150;2..50;random;default_rebalance_with_withdrawal;1..33;5523;6937;6668;34708,17;0,0;100,0;1,15
101..150;2..50;random;default_rebalance_with_withdrawal;34..66;5523;6938;6669;34708,17;0,0;100,0;1,86
101..150;2..50;random;default_rebalance_with_withdrawal;67..99;5523;6939;6670;34708,17;0,0;100,0;2,5
101..150;2..50;random;contribution_rebalance;1..33;5523;6940;6671;34708,17;30401,22;12,4;1,13
101..150;2..50;random;contribution_rebalance;34..66;5523;6941;6672;34708,17;23959,13;30,96;1,14
101..150;2..50;random;contribution_rebalance;67..99;5523;6942;6673;34708,17;16167,05;53,42;1,18
101..150;2..50;random;contribution_rebalance;100..200;5523;6943;6674;34708,17;12180,05;64,9;1,16
101..150;51..100;random;default_rebalance;-;5524;6944;6675;38554,11;0,0;100,0;1,41
101..150;51..100;random;default_rebalance_with_deposit;1..33;5524;6945;6676;38554,11;0,0;100,0;2,82
101..150;51..100;random;default_rebalance_with_deposit;34..66;5524;6946;6677;38554,11;0,0;100,0;1,5
101..150;51..100;random;default_rebalance_with_deposit;67..99;5524;6947;6678;38554,11;0,0;100,0;1,37
101..150;51..100;random;default_rebalance_with_deposit;100..200;5524;6948;6679;38554,11;0,0;100,0;1,38
101..150;51..100;random;default_rebalance_with_withdrawal;1..33;5524;6949;6680;38554,11;0,0;100,0;3,0
101..150;51..100;random;default_rebalance_with_withdrawal;34..66;5524;6950;6681;38554,11;0,0;100,0;2,87
101..150;51..100;random;default_rebalance_with_withdrawal;67..99;5524;6951;6682;38554,11;0,0;100,0;2,04
101..150;51..100;random;contribution_rebalance;1..33;5524;6952;6683;38554,11;35298,33;8,44;1,33
101..150;51..100;random;contribution_rebalance;34..66;5524;6953;6684;38554,11;26387,65;31,55;1,39
101..150;51..100;random;contribution_rebalance;67..99;5524;6954;6685;38554,11;18611,41;51,72;1,35
101..150;51..100;random;contribution_rebalance;100..200;5524;6955;6686;38554,11;14681,66;61,91;1,34
101..150;101..150;random;default_rebalance;-;5525;6956;6687;42722,79;0,0;100,0;1,31
101..150;101..150;random;default_rebalance_with_deposit;1..33;5525;6957;6688;42722,79;0,0;100,0;1,33
101..150;101..150;random;default_rebalance_with_deposit;34..66;5525;6958;6689;42722,79;0,0;100,0;1,87
101..150;101..150;random;default_rebalance_with_deposit;67..99;5525;6959;6690;42722,79;0,0;100,0;2,91
101..150;101..150;random;default_rebalance_with_deposit;100..200;5525;6960;6691;42722,79;0,0;100,0;1,31
101..150;101..150;random;default_rebalance_with_withdrawal;1..33;5525;6961;6692;42722,79;0,0;100,0;1,32
101..150;101..150;random;default_rebalance_with_withdrawal;34..66;5525;6962;6693;42722,79;0,0;100,0;1,77
101..150;101..150;random;default_rebalance_with_withdrawal;67..99;5525;6963;6694;42722,79;0,0;100,0;2,8
101..150;101..150;random;contribution_rebalance;1..33;5525;6964;6695;42722,79;37994,06;11,06;1,33
101..150;101..150;random;contribution_rebalance;34..66;5525;6965;6696;42722,79;26372,76;38,27;1,38
101..150;101..150;random;contribution_rebalance;67..99;5525;6966;6697;42722,79;20297,26;52,49;1,8
101..150;101..150;random;contribution_rebalance;100..200;5525;6967;6698;42722,79;17655,14;58,67;2,96
101..150;151..200;random;default_rebalance;-;5526;6968;6699;14458,45;0,0;100,0;1,04
101..150;151..200;random;default_rebalance_with_deposit;1..33;5526;6969;6700;14458,45;0,0;100,0;1,02
101..150;151..200;random;default_rebalance_with_deposit;34..66;5526;6970;6701;14458,45;0,0;100,0;1,68
101..150;151..200;random;default_rebalance_with_deposit;67..99;5526;6971;6702;14458,45;0,0;100,0;2,35
101..150;151..200;random;default_rebalance_with_deposit;100..200;5526;6972;6703;14458,45;0,0;100,0;1,06
101..150;151..200;random;default_rebalance_with_withdrawal;1..33;5526;6973;6704;14458,45;0,0;100,0;1,07
101..150;151..200;random;default_rebalance_with_withdrawal;34..66;5526;6974;6705;14458,45;0,0;100,0;0,98
101..150;151..200;random;default_rebalance_with_withdrawal;67..99;5526;6975;6706;14458,45;0,0;100,0;1,56
101..150;151..200;random;contribution_rebalance;1..33;5526;6976;6707;14458,45;10187,38;29,54;2,04
101..150;151..200;random;contribution_rebalance;34..66;5526;6977;6708;14458,45;7308,86;49,44;1,08
101..150;151..200;random;contribution_rebalance;67..99;5526;6978;6709;14458,45;6470,08;55,25;1,0
101..150;151..200;random;contribution_rebalance;100..200;5526;6979;6710;14458,45;4473,16;69,06;0,98
101..150;201..250;random;default_rebalance;-;5527;6980;6711;35675,93;0,0;100,0;2,69
101..150;201..250;random;default_rebalance_with_deposit;1..33;5527;6981;6712;35675,93;0,0;100,0;1,2
101..150;201..250;random;default_rebalance_with_deposit;34..66;5527;6982;6713;35675,93;0,0;100,0;1,2
101..150;201..250;random;default_rebalance_with_deposit;67..99;5527;6983;6714;35675,93;0,0;100,0;1,31
101..150;201..250;random;default_rebalance_with_deposit;100..200;5527;6984;6715;35675,93;0,0;100,0;2,65
101..150;201..250;random;default_rebalance_with_withdrawal;1..33;5527;6985;6716;35675,93;0,0;100,0;1,82
101..150;201..250;random;default_rebalance_with_withdrawal;34..66;5527;6986;6717;35675,93;0,0;100,0;1,27
101..150;201..250;random;default_rebalance_with_withdrawal;67..99;5527;6987;6718;35675,93;0,0;100,0;1,29
101..150;201..250;random;contribution_rebalance;1..33;5527;6988;6719;35675,93;34103,11;4,4;2,21
101..150;201..250;random;contribution_rebalance;34..66;5527;6989;6720;35675,93;21586,34;39,49;2,69
101..150;201..250;random;contribution_rebalance;67..99;5527;6990;6721;35675,93;17560,0;50,77;2,62
101..150;201..250;random;contribution_rebalance;100..200;5527;6991;6722;35675,93;13506,32;62,14;1,2
151..200;2..50;random;default_rebalance;-;5528;6992;6723;85415,33;0,0;100,0;3,24
151..200;2..50;random;default_rebalance_with_deposit;1..33;5528;6993;6724;85415,33;0,0;100,0;2,3
151..200;2..50;random;default_rebalance_with_deposit;34..66;5528;6994;6725;85415,33;0,0;100,0;1,82
151..200;2..50;random;default_rebalance_with_deposit;67..99;5528;6995;6726;85415,33;0,0;100,0;3,41
151..200;2..50;random;default_rebalance_with_deposit;100..200;5528;6996;6727;85415,33;0,0;100,0;2,34
151..200;2..50;random;default_rebalance_with_withdrawal;1..33;5528;6997;6728;85415,33;0,0;100,0;1,88
151..200;2..50;random;default_rebalance_with_withdrawal;34..66;5528;6998;6729;85415,33;0,0;100,0;4,0
151..200;2..50;random;default_rebalance_with_withdrawal;67..99;5528;6999;6730;85415,33;0,0;100,0;1,9
151..200;2..50;random;contribution_rebalance;1..33;5528;7000;6731;85415,33;83555,18;2,17;1,77
151..200;2..50;random;contribution_rebalance;34..66;5528;7001;6732;85415,33;53870,6;36,93;3,79
151..200;2..50;random;contribution_rebalance;67..99;5528;7002;6733;85415,33;46559,84;45,49;1,79
151..200;2..50;random;contribution_rebalance;100..200;5528;7003;6734;85415,33;25069,6;70,64;2,18
151..200;51..100;random;default_rebalance;-;5529;7004;6735;41344,65;0,0;100,0;4,18
151..200;51..100;random;default_rebalance_with_deposit;1..33;5529;7005;6736;41344,65;0,0;100,0;3,08
151..200;51..100;random;default_rebalance_with_deposit;34..66;5529;7006;6737;41344,65;0,0;100,0;1,89
151..200;51..100;random;default_rebalance_with_deposit;67..99;5529;7007;6738;41344,65;0,0;100,0;2,84
151..200;51..100;random;default_rebalance_with_deposit;100..200;5529;7008;6739;41344,65;0,0;100,0;2,72
151..200;51..100;random;default_rebalance_with_withdrawal;1..33;5529;7009;6740;41344,65;0,0;100,0;1,84
151..200;51..100;random;default_rebalance_with_withdrawal;34..66;5529;7010;6741;41344,65;0,0;100,0;3,12
151..200;51..100;random;default_rebalance_with_withdrawal;67..99;5529;7011;6742;41344,65;0,0;100,0;2,48
151..200;51..100;random;contribution_rebalance;1..33;5529;7012;6743;41344,65;33437,91;19,12;1,84
151..200;51..100;random;contribution_rebalance;34..66;5529;7013;6744;41344,65;22901,79;44,6;3,53
151..200;51..100;random;contribution_rebalance;67..99;5529;7014;6745;41344,65;18475,0;55,31;2,16
151..200;51..100;random;contribution_rebalance;100..200;5529;7015;6746;41344,65;16716,78;59,56;1,85
151..200;101..150;random;default_rebalance;-;5530;7016;6747;36624,92;0,0;100,0;1,51
151..200;101..150;random;default_rebalance_with_deposit;1..33;5530;7017;6748;36624,92;0,0;100,0;1,39
151..200;101..150;random;default_rebalance_with_deposit;34..66;5530;7018;6749;36624,92;0,0;100,0;1,51
151..200;101..150;random;default_rebalance_with_deposit;67..99;5530;7019;6750;36624,92;0,0;100,0;1,48
151..200;101..150;random;default_rebalance_with_deposit;100..200;5530;7020;6751;36624,92;0,0;100,0;1,5
151..200;101..150;random;default_rebalance_with_withdrawal;1..33;5530;7021;6752;36624,92;0,0;100,0;3,04
151..200;101..150;random;default_rebalance_with_withdrawal;34..66;5530;7022;6753;36624,92;0,0;100,0;3,2
151..200;101..150;random;default_rebalance_with_withdrawal;67..99;5530;7023;6754;36624,92;0,0;100,0;2,28
151..200;101..150;random;contribution_rebalance;1..33;5530;7024;6755;36624,92;28690,66;21,66;1,47
151..200;101..150;random;contribution_rebalance;34..66;5530;7025;6756;36624,92;20918,02;42,88;1,74
151..200;101..150;random;contribution_rebalance;67..99;5530;7026;6757;36624,92;18235,28;50,21;3,25
151..200;101..150;random;contribution_rebalance;100..200;5530;7027;6758;36624,92;9566,28;73,88;1,55
151..200;151..200;random;default_rebalance;-;5531;7028;6759;79611,06;0,0;100,0;3,5
151..200;151..200;random;default_rebalance_with_deposit;1..33;5531;7029;6760;79611,06;0,0;100,0;1,76
151..200;151..200;random;default_rebalance_with_deposit;34..66;5531;7030;6761;79611,06;0,0;100,0;1,67
151..200;151..200;random;default_rebalance_with_deposit;67..99;5531;7031;6762;79611,06;0,0;100,0;2,86
151..200;151..200;random;default_rebalance_with_deposit;100..200;5531;7032;6763;79611,06;0,0;100,0;2,34
151..200;151..200;random;default_rebalance_with_withdrawal;1..33;5531;7033;6764;79611,06;0,0;100,0;1,63
151..200;151..200;random;default_rebalance_with_withdrawal;34..66;5531;7034;6765;79611,06;0,0;100,0;1,74
151..200;151..200;random;default_rebalance_with_withdrawal;67..99;5531;7035;6766;79611,06;0,0;100,0;1,74
151..200;151..200;random;contribution_rebalance;1..33;5531;7036;6767;79611,06;72285,1;9,2;2,29
151..200;151..200;random;contribution_rebalance;34..66;5531;7037;6768;79611,06;45300,99;43,09;2,92
151..200;151..200;random;contribution_rebalance;67..99;5531;7038;6769;79611,06;38749,45;51,32;1,67
151..200;151..200;random;contribution_rebalance;100..200;5531;7039;6770;79611,06;26007,22;67,33;2,14
151..200;201..250;random;default_rebalance;-;5532;7040;6771;57222,64;0,0;100,0;1,93
151..200;201..250;random;default_rebalance_with_deposit;1..33;5532;7041;6772;57222,64;0,0;100,0;2,58
151..200;201..250;random;default_rebalance_with_deposit;34..66;5532;7042;6773;57222,64;0,0;100,0;3,83
151..200;201..250;random;default_rebalance_with_deposit;67..99;5532;7043;6774;57222,64;0,0;100,0;2,92
151..200;201..250;random;default_rebalance_with_deposit;100..200;5532;7044;6775;57222,64;0,0;100,0;1,84
151..200;201..250;random;default_rebalance_with_withdrawal;1..33;5532;7045;6776;57222,64;0,0;100,0;2,87
151..200;201..250;random;default_rebalance_with_withdrawal;34..66;5532;7046;6777;57222,64;0,0;100,0;3,98
151..200;201..250;random;default_rebalance_with_withdrawal;67..99;5532;7047;6778;57222,64;0,0;100,0;2,61
151..200;201..250;random;contribution_rebalance;1..33;5532;7048;6779;57222,64;48917,05;14,51;2,03
151..200;201..250;random;contribution_rebalance;34..66;5532;7049;6780;57222,64;35879,63;37,29;1,84
151..200;201..250;random;contribution_rebalance;67..99;5532;7050;6781;57222,64;28749,01;49,75;1,87
151..200;201..250;random;contribution_rebalance;100..200;5532;7051;6782;57222,64;21161,33;63,01;3,99
201..250;2..50;random;default_rebalance;-;5533;7052;6783;341870,01;0,0;100,0;2,02
201..250;2..50;random;default_rebalance_with_deposit;1..33;5533;7053;6784;341870,01;0,0;100,0;2,39
201..250;2..50;random;default_rebalance_with_deposit;34..66;5533;7054;6785;341870,01;0,0;100,0;3,29
201..250;2..50;random;default_rebalance_with_deposit;67..99;5533;7055;6786;341870,01;0,0;100,0;1,95
201..250;2..50;random;default_rebalance_with_deposit;100..200;5533;7056;6787;341870,01;0,0;100,0;3,22
201..250;2..50;random;default_rebalance_with_withdrawal;1..33;5533;7057;6788;341870,01;0,0;100,0;2,65
201..250;2..50;random;default_rebalance_with_withdrawal;34..66;5533;7058;6789;341870,01;0,0;100,0;2,03
201..250;2..50;random;default_rebalance_with_withdrawal;67..99;5533;7059;6790;341870,01;0,0;100,0;3,91
201..250;2..50;random;contribution_rebalance;1..33;5533;7060;6791;341870,01;338396,78;1,01;4,18
201..250;2..50;random;contribution_rebalance;34..66;5533;7061;6792;341870,01;209498,21;38,71;1,93
201..250;2..50;random;contribution_rebalance;67..99;5533;7062;6793;341870,01;191112,55;44,09;2,23
201..250;2..50;random;contribution_rebalance;100..200;5533;7063;6794;341870,01;117113,71;65,74;3,47
201..250;51..100;random;default_rebalance;-;5534;7064;6795;67739,58;0,0;100,0;4,17
201..250;51..100;random;default_rebalance_with_deposit;1..33;5534;7065;6796;67739,58;0,0;100,0;2,2
201..250;51..100;random;default_rebalance_with_deposit;34..66;5534;7066;6797;67739,58;0,0;100,0;2,73
201..250;51..100;random;default_rebalance_with_deposit;67..99;5534;7067;6798;67739,58;0,0;100,0;3,59
201..250;51..100;random;default_rebalance_with_deposit;100..200;5534;7068;6799;67739,58;0,0;100,0;2,3
201..250;51..100;random;default_rebalance_with_withdrawal;1..33;5534;7069;6800;67739,58;0,0;100,0;4,63
201..250;51..100;random;default_rebalance_with_withdrawal;34..66;5534;7070;6801;67739,58;0,0;100,0;2,18
201..250;51..100;random;default_rebalance_with_withdrawal;67..99;5534;7071;6802;67739,58;0,0;100,0;3,26
201..250;51..100;random;contribution_rebalance;1..33;5534;7072;6803;67739,58;60123,57;11,24;3,16
201..250;51..100;random;contribution_rebalance;34..66;5534;7073;6804;67739,58;40124,68;40,76;2,25
