scale_of_number_of_assets;scale_of_quantity_of_assets;scale_of_allocation_weights;rebalance_kind;scale_of_rebalance_amount;investment_portfolio_id;rebalance_order_id;rebalance_id;current_variation_percentage_total_sum;projected_variation_percentage_total_sum;variation_percentage_reduction;execution_time_in_seconds
151..200;151..200;uniform;default_rebalance_with_withdrawal;1..33;5556;7333;7064;16745,97;0,0;100,0;1,55
151..200;151..200;uniform;default_rebalance_with_withdrawal;34..66;5556;7334;7065;16745,97;0,0;100,0;2,92
151..200;151..200;uniform;default_rebalance_with_withdrawal;67..99;5556;7335;7066;16745,97;0,0;100,0;2,16
151..200;151..200;uniform;contribution_rebalance;1..33;5556;7336;7067;16745,97;16057,61;4,11;1,45
151..200;151..200;uniform;contribution_rebalance;34..66;5556;7337;7068;16745,97;9883,83;40,97;1,65
151..200;151..200;uniform;contribution_rebalance;67..99;5556;7338;7069;16745,97;7019,17;58,08;3,22
151..200;151..200;uniform;contribution_rebalance;100..200;5556;7339;7070;16745,97;4556,53;72,79;1,53
151..200;201..250;uniform;default_rebalance;-;5557;7340;7071;22637,86;0,0;100,0;4,09
151..200;201..250;uniform;default_rebalance_with_deposit;1..33;5557;7341;7072;22637,86;0,0;100,0;1,86
151..200;201..250;uniform;default_rebalance_with_deposit;34..66;5557;7342;7073;22637,86;0,0;100,0;1,79
151..200;201..250;uniform;default_rebalance_with_deposit;67..99;5557;7343;7074;22637,86;0,0;100,0;4,03
151..200;201..250;uniform;default_rebalance_with_deposit;100..200;5557;7344;7075;22637,86;0,0;100,0;1,88
151..200;201..250;uniform;default_rebalance_with_withdrawal;1..33;5557;7345;7076;22637,86;0,0;100,0;2,14
151..200;201..250;uniform;default_rebalance_with_withdrawal;34..66;5557;7346;7077;22637,86;0,0;100,0;3,67
151..200;201..250;uniform;default_rebalance_with_withdrawal;67..99;5557;7347;7078;22637,86;0,0;100,0;1,91
151..200;201..250;uniform;contribution_rebalance;1..33;5557;7348;7079;22637,86;15625,54;30,97;2,46
151..200;201..250;uniform;contribution_rebalance;34..66;5557;7349;7080;22637,86;12105,27;46,52;3,27
151..200;201..250;uniform;contribution_rebalance;67..99;5557;7350;7081;22637,86;11738,71;48,14;2,01
151..200;201..250;uniform;contribution_rebalance;100..200;5557;7351;7082;22637,86;8913,02;60,62;3,03
201..250;2..50;uniform;default_rebalance;-;5558;7352;7083;30803,52;0,0;100,0;3,06
201..250;2..50;uniform;default_rebalance_with_deposit;1..33;5558;7353;7084;30803,52;0,0;100,0;4,99
201..250;2..50;uniform;default_rebalance_with_deposit;34..66;5558;7354;7085;30803,52;0,0;100,0;2,76
201..250;2..50;uniform;default_rebalance_with_deposit;67..99;5558;7355;7086;30803,52;0,0;100,0;2,85
201..250;2..50;uniform;default_rebalance_with_deposit;100..200;5558;7356;7087;30803,52;0,0;100,0;3,69
201..250;2..50;uniform;default_rebalance_with_withdrawal;1..33;5558;7357;7088;30803,52;0,0;100,0;2,35
201..250;2..50;uniform;default_rebalance_with_withdrawal;34..66;5558;7358;7089;30803,52;0,0;100,0;4,7
201..250;2..50;uniform;default_rebalance_with_withdrawal;67..99;5558;7359;7090;30803,52;0,0;100,0;2,32
201..250;2..50;uniform;contribution_rebalance;1..33;5558;7360;7091;30803,52;22562,56;26,75;3,89
201..250;2..50;uniform;contribution_rebalance;34..66;5558;7361;7092;30803,52;18610,42;39,58;2,6
201..250;2..50;uniform;contribution_rebalance;67..99;5558;7362;7093;30803,52;13045,67;57,64;3,25
201..250;2..50;uniform;contribution_rebalance;100..200;5558;7363;7094;30803,52;9312,19;69,76;3,37
201..250;51..100;uniform;default_rebalance;-;5559;7364;7095;28370,4;0,0;100,0;2,23
201..250;51..100;uniform;default_rebalance_with_deposit;1..33;5559;7365;7096;28370,4;0,0;100,0;3,02
201..250;51..100;uniform;default_rebalance_with_deposit;34..66;5559;7366;7097;28370,4;0,0;100,0;3,28
201..250;51..100;uniform;default_rebalance_with_deposit;67..99;5559;7367;7098;28370,4;0,0;100,0;2,34
201..250;51..100;uniform;default_rebalance_with_deposit;100..200;5559;7368;7099;28370,4;0,0;100,0;4,95
201..250;51..100;uniform;default_rebalance_with_withdrawal;1..33;5559;7369;7100;28370,4;0,0;100,0;2,27
201..250;51..100;uniform;default_rebalance_with_withdrawal;34..66;5559;7370;7101;28370,4;0,0;100,0;4,01
201..250;51..100;uniform;default_rebalance_with_withdrawal;67..99;5559;7371;7102;28370,4;0,0;100,0;2,38
201..250;51..100;uniform;contribution_rebalance;1..33;5559;7372;7103;28370,4;21728,08;23,41;2,72
201..250;51..100;uniform;contribution_rebalance;34..66;5559;7373;7104;28370,4;14732,7;48,07;3,67
201..250;51..100;uniform;contribution_rebalance;67..99;5559;7374;7105;28370,4;13815,87;51,3;2,26
201..250;51..100;uniform;contribution_rebalance;100..200;5559;7375;7106;28370,4;8781,58;69,04;4,69
201..250;101..150;uniform;default_rebalance;-;5560;7376;7107;19981,3;0,0;100,0;2,39
201..250;101..150;uniform;default_rebalance_with_deposit;1..33;5560;7377;7108;19981,3;0,0;100,0;3,39
201..250;101..150;uniform;default_rebalance_with_deposit;34..66;5560;7378;7109;19981,3;0,0;100,0;1,97
201..250;101..150;uniform;default_rebalance_with_deposit;67..99;5560;7379;7110;19981,3;0,0;100,0;3,12
201..250;101..150;uniform;default_rebalance_with_deposit;100..200;5560;7380;7111;19981,3;0,0;100,0;2,86
201..250;101..150;uniform;default_rebalance_with_withdrawal;1..33;5560;7381;7112;19981,3;0,0;100,0;2,29
201..250;101..150;uniform;default_rebalance_with_withdrawal;34..66;5560;7382;7113;19981,3;0,0;100,0;2,42
201..250;101..150;uniform;default_rebalance_with_withdrawal;67..99;5560;7383;7114;19981,3;0,0;100,0;2,58
201..250;101..150;uniform;contribution_rebalance;1..33;5560;7384;7115;19981,3;12934,64;35,26;2,02
201..250;101..150;uniform;contribution_rebalance;34..66;5560;7385;7116;19981,3;9882,45;50,54;4,47
201..250;101..150;uniform;contribution_rebalance;67..99;5560;7386;7117;19981,3;7282,57;63,55;1,99
201..250;101..150;uniform;contribution_rebalance;100..200;5560;7387;7118;19981,3;5319,78;73,37;2,52
201..250;151..200;uniform;default_rebalance;-;5561;7388;7119;21882,14;0,0;100,0;3,42
201..250;151..200;uniform;default_rebalance_with_deposit;1..33;5561;7389;7120;21882,14;0,0;100,0;2,23
201..250;151..200;uniform;default_rebalance_with_deposit;34..66;5561;7390;7121;21882,14;0,0;100,0;2,26
201..250;151..200;uniform;default_rebalance_with_deposit;67..99;5561;7391;7122;21882,14;0,0;100,0;2,09
201..250;151..200;uniform;default_rebalance_with_deposit;100..200;5561;7392;7123;21882,14;0,0;100,0;4,21
201..250;151..200;uniform;default_rebalance_with_withdrawal;1..33;5561;7393;7124;21882,14;0,0;100,0;2,12
201..250;151..200;uniform;default_rebalance_with_withdrawal;34..66;5561;7394;7125;21882,14;0,0;100,0;3,21
201..250;151..200;uniform;default_rebalance_with_withdrawal;67..99;5561;7395;7126;21882,14;0,0;100,0;2,94
201..250;151..200;uniform;contribution_rebalance;1..33;5561;7396;7127;21882,14;20248,0;7,46;2,06
201..250;151..200;uniform;contribution_rebalance;34..66;5561;7397;7128;21882,14;11447,39;47,68;4,53
201..250;151..200;uniform;contribution_rebalance;67..99;5561;7398;7129;21882,14;8146,79;62,76;3,9
201..250;151..200;uniform;contribution_rebalance;100..200;5561;7399;7130;21882,14;6512,31;70,23;2,17
201..250;201..250;uniform;default_rebalance;-;5562;7400;7131;26694,0;0,0;100,0;2,51
201..250;201..250;uniform;default_rebalance_with_deposit;1..33;5562;7401;7132;26694,0;0,0;100,0;3,61
201..250;201..250;uniform;default_rebalance_with_deposit;34..66;5562;7402;7133;26694,0;0,0;100,0;3,06
201..250;201..250;uniform;default_rebalance_with_deposit;67..99;5562;7403;7134;26694,0;0,0;100,0;2,74
201..250;201..250;uniform;default_rebalance_with_deposit;100..200;5562;7404;7135;26694,0;0,0;100,0;5,28
201..250;201..250;uniform;default_rebalance_with_withdrawal;1..33;5562;7405;7136;26694,0;0,0;100,0;4,76
201..250;201..250;uniform;default_rebalance_with_withdrawal;34..66;5562;7406;7137;26694,0;0,0;100,0;3,05
201..250;201..250;uniform;default_rebalance_with_withdrawal;67..99;5562;7407;7138;26694,0;0,0;100,0;2,73
201..250;201..250;uniform;contribution_rebalance;1..33;5562;7408;7139;26694,0;17859,7;33,09;2,82
201..250;201..250;uniform;contribution_rebalance;34..66;5562;7409;7140;26694,0;13288,58;50,21;2,7
201..250;201..250;uniform;contribution_rebalance;67..99;5562;7410;7141;26694,0;12841,04;51,89;4,81
201..250;201..250;uniform;contribution_rebalance;100..200;5562;7411;7142;26694,0;5392,84;79,79;2,62
